VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE OBS_SID OBS_LAT OBS_LON    FCST        OBS  OBS_QC FCST_CAT OBS_CAT P1    P2    T1  T2     SEEPS
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71879   53.56 -113.51     0           0       NA        0       0 0.528 0.843 0.2  0.5   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71882   50.96 -118.18     0           0       NA        0       0 0.532 0.844 0.2  3     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71907   58.45  -78.08     0           0       NA        0       0 0.655 0.885 0.2  1.867 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71451   56.33 -103.28     2.125       0.6     NA        2       1 0.494 0.831 0.2  1.6   0.601
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71459   50.9  -109.49     0           0       NA        0       0 0.652 0.884 0.2  1.3   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71475   49.31 -124.93     0           0       NA        0       0 0.531 0.844 0.2  6     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71618   45.31  -72.24    11.5         0       NA        2       0 0.46  0.82  0.2  7.667 1.697
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71727   48.33  -71        1.875       0.4     NA        1       1 0.551 0.85  0.2  5     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71731   46.36  -79.41     3.625       4.6     NA        1       1 0.6   0.867 0.2  5.733 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71815   48.55  -58.55     8.125      -0.1     NA        2       0 0.551 0.85  0.2  6     1.495
